Field String ID
Field String Data

; Class names.

FIGHTER         "ファイター"
POPUP_POLYMORPH      "モーフ"
POPUP_COIN           "コイン"
POPUP_COINS          "コイン"

NOTIFY_INV_FULL      "袋がいっぱい!"
NOTIFY_STAIRS        "階段を発見!"
NOTIFY_LATE_STAIRS   "とうとう、下へ行く階段が!"
NOTIFY_EXPLORE       "探索を続行!"
NOTIFY_LATE_EXPLORE  "階段に向かって進行!"
NOTIFY_DOWNSTAIRS    "クリックして下の階へ"
NOTIFY_PICK_SPACE1   ""
NOTIFY_PICK_SPACE2   "を使う場所を選択してください"
NOTIFY_PICK_TARGET1  ""
NOTIFY_PICK_TARGET2  "の対象を選択してください"
NOTIFY_GET_FIRST     "ずっとこれが欲しかったんだ。"
NOTIFY_GET_DUPLICATE "これと同じものを既に持っている。"
NOTIFY_GET_EQUAL1    "自分の"
NOTIFY_GET_EQUAL2    " はこれと同じものだ。"
NOTIFY_GET_SELLOLD1  "今まで使っていた"
NOTIFY_GET_SELLOLD2  " は今すぐ売る。"
NOTIFY_GET_SELLNEW1  "今使っている"
NOTIFY_GET_SELLNEW2  " の方が全然マシだ!いらない!"
NOTIFY_GET_STASHOLD1 "今まで使っていた"
NOTIFY_GET_STASHOLD2 " は袋に入れておこう。"
NOTIFY_GET_REDUNDANT "袋の中にもっといいのがある。"
NOTIFY_GET_STASHNEW1 "この"
NOTIFY_GET_STASHNEW2 " は袋に入れておこう。"
NOTIFY_GET_STASHSPELL1 "この"
NOTIFY_GET_STASHSPELL2 "呪文は袋に入れておこう。"
NOTIFY_EMPTYCELL     "空のセルを使ってアイテムを交換する!"

LOG_YOU_HIT          "アタック!"
LOG_HIT_YOU          "くらった!"
LOG_YOU_KILL         "倒した!"
LOG_KILLS_YOU        "倒された…"
LOG_YOU_MISS         "ミス!"
LOG_MISS_YOU         "かわした!"
LOG_EFFECT           "特別効果を適用："
LOG_XP1              "獲得"
LOG_XP2              "経験値"
LOG_EXPIRED_TIMER    "タイムリミットを解除："
LOG_POTION           "ポーション使用"

; UI - Menu
MENU_NEW_GAME        "ニューゲーム"
MENU_RESUME_GAME     "ゲーム再開"
MENU_CREDITS         "クレジット"
MENU_QUIT            "終了"
MENU_MUSIC           "音楽"
MENU_SOUND           "サウンド"
MENU_FULLSCREEN      "リサイズ"
MENU_WINDOWED        "リサイズ"
MENU_COPYRIGHT       "Copyright 2011"
MENU_PORTEDBY        "Ported by"
MENU_VERSION         "バージョン"
MENU_STANDALONE      "単体バージョンをゲット："
MENU_UPGRADE1        "バージョンをアップグレード："
MENU_UPGRADE2        "!"

MENU_HIGHSCORES      "ハイスコア"

MENU_CREATECHARACTER "キャラクター作成"
MENU_START           "スタート"
MENU_MENU            "メニュー"
MENU_MAIN_MENU       "メインメニュー"
MENU_HELP            "ヘルプ"
MENU_GAME_OVER       "ゲームオーバー"

PRELOADER1           "やあこんにちは! 誰かがこのゲームを私の許可なくコピーしたようだ。  どこかをクリックするか、このURLをブラウザーにコピペしてください。\n\n"
PRELOADER2           "\n\n私のウェブサイトでこのゲームをプレイするために。  ありがとう、そして楽しんで!"

DEMO_OVER            "デモはここまで!"
DEMO_OVER_MORE       "もっとしたい？"

INVENTORY_HINT       "アイテム、呪文、\nポーションに\nマウスオーバーして\nそれぞれのパラメータや\n効果を確認。"
